palavra,tf,dicts,corpus,title,dmap
aa,418667,0.9999,1,0.0155,cdhjloqrs
aac,62309,0.9089,0.0002,0,cdghjk
ab,251975,0.999,0.9989,0,acdghjkm
aba,409413,1,0.9999,0.2564,abcdfghijklmoqrst
abacate,140134,1,0.2922,0.0067,abcdfghijklmoqrs
abacaxi,311807,1,0.2922,0.011,abcdfghijklmoqrs
abada,33670,1,0.4268,0.0041,acdfghijklmoqs
abadas,20067,0.5,0.0376,0,cdfhj
abade,49679,1,0.1863,0.004,abcdfghijklmnoqrst
abadia,31489,1,0.2922,0,abcdfhijklmnoqrst
abafa,39491,0.9999,0.8874,0.0024,bcdfhijos
abafada,27100,0.99,0.0119,0.0041,bcdfhij
abafado,68423,1,0.1863,0.0041,abcdfhijklmoqrst
abafar,54209,1,0.4268,0,abcdfghijklmoqrst
abaixa,71591,1,0.8874,0,bcdfghijlmqs
abaixando,28784,0.99,0.0212,0,bcdfhij
abaixar,121160,1,0.1863,0.0045,abcdfhijklmoqrst
abaixe,43777,0.99,0.0066,0,bcdfhij
abaixei,32806,0.99,0.0011,0.0051,bcdfhij
abaixo,8306234,1,0.5732,0,abcdfghijklmoqrst
abaixou,75089,0.99,0.0212,0.0056,bcdfhij
abajur,66223,1,0.1863,0,acdfghijkmnoqrst
abala,66263,0.999,0.9788,0.0022,bcdfhijm
abalada,98782,1,0.1863,0.0042,bcdfhijklmoqst
abalado,81965,1,0.2922,0.0043,abcdfhijklmoqst
abalados,23986,0.99,0.0212,0,bcdfhij
abalar,100763,1,0.2922,0,abcdfghijklmnoqrst
abalaram,20663,0.99,0.1126,0,bcdfhij
abalo,69094,1,0.9934,0.0015,abcdfghijklmoqrst
abalos,31329,0.9999,0.0376,0,bcdfghijk
abalou,76431,0.99,0.1863,0,bcdfhij
abana,21710,0.9999,0.7078,0.0042,bcdfghijk
abanando,26508,0.999,0.0119,0,bcdfhijo
abanar,36507,1,0.0212,0,abcdfghijklmnoqrst
abandona,273638,0.99,0.9997,0.0022,bcdfhij
abandonada,272606,0.9089,0.1126,0,bcdhij
abandonadas,121712,0.9089,0.1863,0,bcdhij
abandonado,474518,1,0.4268,0,abcdhijklmnoqrst
abandonados,241263,0.99,0.1863,0,bcdhijp
abandonam,87496,0.99,0.1126,0,bcdfhij
abandonando,107202,0.9089,0.0658,0,bcdhij
abandonar,646584,1,0.2922,0,abcdfghijklmnoqrst
abandonara,41477,0.9089,0.7078,0.0028,bcdhij
abandonaram,114889,0.9089,0.1863,0,bcdhij
abandonarem,26206,0.9089,0.0212,0,bcdhij
abandone,71949,0.99,0.0658,0.004,bcdfhij
abandonei,68441,0.99,0.0212,0,bcdfhij
abandonem,26680,0.99,0.0212,0,bcdfhij
abandono,592402,1,0.5732,0.002,abcdfghijklmoqrst
abandonou,326330,0.99,0.1863,0,bcdfhij
abarca,50817,1,0.8874,0,bcdfhijlmoqst
abarcar,38895,1,0.1126,0.004,abcdfghijklmnoqrst
abas,111566,1,0.2922,0,bcdfhijmqst
abastada,24948,0.99,0.0376,0,bcdfhij
abastadas,27101,0.99,0.0376,0,bcdfhij
abastados,31733,0.99,0.0376,0,bcdfhij
abastece,52497,0.999,0.9624,0,bcdfhijp
abastecem,25156,0.99,0.0212,0,bcdfhij
abastecer,161220,1,0.4268,0.0036,abcdfghijklmoqrst
abastecida,21286,0.9089,0.0658,0,bcdhij
abastecido,50903,1,0.2922,0,abcdhijkmnoqt
abastecidos,20438,0.9089,0.0376,0,bcdhij
abastecimento,561263,1,0.5732,0,abcdhijklmopqrst
abate,188868,1,0.9881,0.0019,abcdfhijklmoqrst
abater,125821,1,0.2922,0,abcdfhijklmnoqrst
abateu,51903,0.99,0.0658,0,bcdfhij
abatida,42214,0.999,0.1126,0.0043,bcdfhijm
abatido,120240,1,0.2922,0.0043,abcdfghijklmnoqst
abatidos,63340,0.999,0.1863,0,bcdfghij
abatimento,63512,1,0.1863,0,abcdhijklmoqrst
abc,123021,1,0.9788,0.0152,acdfghjklmnoqrst
abdicar,78143,1,0.2922,0.0041,abcdfghijklmnoqrst
abdicação,22100,1,0.2922,0,abcdfghijklmoqrst
abdicou,26535,0.99,0.1126,0.0042,bcdfhij
abdome,77386,1,0.2922,0,abcdfghijklnopqrst
abdominais,124378,0.99,0.1863,0,cdhjlmq
abdominal,263056,1,0.2922,0,abcdfghijklmoqrs
abdução,33376,1,0.0658,0.0087,acdfghijklmoqrs
abdômen,202301,1,1,0.0106,abcdfghijklmoqrst
abelha,130168,1,0.5732,0,abcdfghijklmopqrs
abelhas,281492,1,0.2922,0.0063,bcdfghijmp
abençoa,95798,0.999,0.7078,0.007,bcdfhijm
abençoada,237896,0.99,0.0658,0,bcdfhij
abençoadas,40368,0.9089,0.0037,0,bcdhij
abençoado,292869,1,0.2922,0,abcdfhijklmnqrt
abençoados,87727,0.9089,0.0212,0,bcdhij
abençoando,131132,0.5,0.0066,0,bcdhj
abençoar,144522,1,0.0376,0,abcdfghijklmnoqrst
abençoara,20215,0.9089,0.0658,0,bcdfhj
abençoe,767937,0.9089,0.0376,0.0042,bcdfhj
abençoou,67827,0.9089,0.0376,0,bcdfhj
aberração,96220,1,0.2922,0,abcdfhijklmnoqrst
aberrações,60116,0.5,0.1863,0.0078,bcdhj
aberta,2167235,1,0.4268,0,bcdfghijklmnoqst
abertamente,233567,1,0.1863,0,abcdhijlmoqrst
abertas,1654706,0.9999,0.2922,0.0875,bcdfghijm
aberto,2730216,1,0.5732,0,abcdfghijklmopqrst
abertos,1028907,0.999,0.4268,0.0208,bcdfghij
abertura,3635042,1,0.9994,0.3326,abcdfghijklmopqrst
aberturas,150883,0.99,0.2922,0,bcdfhij
abi,32521,1,0.5732,0.004,acdfghijko
abismo,339311,1,0.2922,0,abcdfghijklmoqrst
abismos,59228,0.99,0.0658,0.0043,bcdfhij
abissal,23945,1,0.2922,0.0043,acdfghijklmoqrst
abl,44170,0.9089,0.0037,0,cdghjk
abnegação,44309,1,0.0658,0,abcdfghijklmnoqrst
abnt,277022,0.9089,0.002,0,cdghjk
abobrinha,97325,1,0.0212,0,bcdfghijkmoqr
abobrinhas,34721,0.99,0.0037,0.0041,bcdghij
abocanhar,23974,1,0.0658,0,abcdfhijklmnoqrst
abolicionista,31353,1,0.1126,0,abcdhijklmnoqrs
abolida,38474,0.5,0.0376,0.0081,cdfhj
abolido,33331,1,0.1863,0.0041,bcdfhijmnqt
abolir,69310,1,0.1863,0,abcdfghijklmnoqrst
aboliu,27751,0.99,0.0376,0,bcdfhij
abolição,135534,1,0.4268,0,abcdfghijklmoqrst
abomina,29106,0.99,0.4268,0.0022,bcdfhij
abominação,42662,1,0.0376,0,abcdghijklmnoqrst
abominações,24491,0.5,0.0119,0.0081,bcdhj
abomino,20424,0.99,0.0066,0.0044,bcdfhij
abomináveis,29531,0.5,0.0066,0.0081,bcdhj
abominável,63229,1,0.8874,0.0078,abcdghijklmnoqrst
abono,134467,1,0.1126,0,abcdfhijklmnoqrst
aborda,517344,0.99,0.9963,0,bcdfhij
abordada,125922,1,0.1863,0,bcdfhijklmoqst
abordadas,108036,0.99,0.0658,0,bcdfhij
abordado,349038,0.9999,0.4268,0,bcdfhijmq
abordados,369907,0.999,0.1126,0,bcdfhijq
abordagem,1456017,1,0.4268,0,abcdfhijklmoqrst
abordagens,338608,0.999,0.1126,0,bcdhijqr
abordam,131075,0.99,0.1863,0.0041,bcdfhij
abordamos,34948,0.99,0.0212,0,bcdfhij
abordando,174705,0.99,0.0658,0,bcdfhij
abordar,478206,1,0.2922,0.0027,abcdfghijklmnoqrst
abordara,58581,0.99,0.7078,0,bcdfhij
abordaram,55773,0.99,0.0376,0,bcdfhij
abordaremos,33198,0.9089,0.0066,0.0051,bcdhij
abordei,20708,0.99,0.0066,0.0042,bcdfhij
abordo,20930,1,0.0658,0,abcdfhijklmoqst
